1f600,😀
1f170,🅰
1f18e,🆎
1f171,🅱
1f191,🆑
1f192,🆒
1f193,🆓
2139,ℹ
1f194,🆔
24c2,Ⓜ
1f195,🆕
1f196,🆖
1f17e,🅾
1f197,🆗
1f17f,🅿
1f198,🆘
1f199,🆙
1f19a,🆚
1f201,🈁
1f202,🈂
1f237,🈷
1f236,🈶
1f22f,🈯
1f250,🉐
1f239,🈹
1f21a,🈚
1f232,🈲
1f251,🉑
1f238,🈸
1f234,🈴
1f233,🈳
3297,㊗
3299,㊙
1f23a,🈺
1f235,🈵
1f534,🔴
1f535,🔵
26aa,⚪
26ab,⚫
2b1c,⬜
2b1b,⬛
25fc,◼
25fb,◻
25fd,◽
25fe,◾
25ab,▫
25aa,▪
1f536,🔶
1f537,🔷
1f538,🔸
1f539,🔹
1f53a,🔺
1f53b,🔻
1f4a0,💠
1f518,🔘
1f532,🔲
1f533,🔳
1f3c1,🏁
1f6a9,🚩
1f38c,🎌
1f3f4,🏴
1f3f3,🏳
1f3f3_fe0f_200d_1f308,🏳️‍🌈
1f3f4_200d_2620_fe0f,🏴‍☠️
1f1e6_1f1e8,🇦🇨
1f1e6_1f1e9,🇦🇩
1f1e6_1f1ea,🇦🇪
1f1e6_1f1eb,🇦🇫
1f1e6_1f1ec,🇦🇬
1f1e6_1f1ee,🇦🇮
1f1e6_1f1f1,🇦🇱
1f1e6_1f1f2,🇦🇲
1f1e6_1f1f4,🇦🇴
1f1e6_1f1f6,🇦🇶
1f1e6_1f1f7,🇦🇷
1f1e6_1f1f8,🇦🇸
1f1e6_1f1f9,🇦🇹
1f1e6_1f1fa,🇦🇺
1f1e6_1f1fc,🇦🇼
1f1e6_1f1fd,🇦🇽
1f1e6_1f1ff,🇦🇿
1f1e7_1f1e6,🇧🇦
1f1e7_1f1e7,🇧🇧
1f1e7_1f1e9,🇧🇩
1f1e7_1f1ea,🇧🇪
1f1e7_1f1eb,🇧🇫
1f1e7_1f1ec,🇧🇬
1f1e7_1f1ed,🇧🇭
1f1e7_1f1ee,🇧🇮
1f1e7_1f1ef,🇧🇯
1f1e7_1f1f1,🇧🇱
1f1e7_1f1f2,🇧🇲
1f1e7_1f1f3,🇧🇳
1f1e7_1f1f4,🇧🇴
1f1e7_1f1f6,🇧🇶
1f1e7_1f1f7,🇧🇷
1f1e7_1f1f8,🇧🇸
1f1e7_1f1f9,🇧🇹
1f1e7_1f1fb,🇧🇻
1f1e7_1f1fc,🇧🇼
1f1e7_1f1fe,🇧🇾
1f1e7_1f1ff,🇧🇿
1f1e8_1f1e6,🇨🇦
1f1e8_1f1e8,🇨🇨
1f1e8_1f1e9,🇨🇩
1f1e8_1f1eb,🇨🇫
1f1e8_1f1ec,🇨🇬
1f1e8_1f1ed,🇨🇭
1f1e8_1f1ee,🇨🇮
1f1e8_1f1f0,🇨🇰
1f1e8_1f1f1,🇨🇱
1f1e8_1f1f2,🇨🇲
1f1e8_1f1f3,🇨🇳
1f1e8_1f1f4,🇨🇴
1f1e8_1f1f5,🇨🇵
1f1e8_1f1f7,🇨🇷
1f1e8_1f1fa,🇨🇺
1f1e8_1f1fb,🇨🇻
1f1e8_1f1fc,🇨🇼
1f1e8_1f1fd,🇨🇽
1f1e8_1f1fe,🇨🇾
1f1e8_1f1ff,🇨🇿
1f1e9_1f1ea,🇩🇪
1f1e9_1f1ec,🇩🇬
1f1e9_1f1ef,🇩🇯
1f1e9_1f1f0,🇩🇰
1f1e9_1f1f2,🇩🇲
1f1e9_1f1f4,🇩🇴
1f1e9_1f1ff,🇩🇿
1f1ea_1f1e6,🇪🇦
1f1ea_1f1e8,🇪🇨
1f1ea_1f1ea,🇪🇪
1f1ea_1f1ec,🇪🇬
1f1ea_1f1ed,🇪🇭
1f1ea_1f1f7,🇪🇷
1f1ea_1f1f8,🇪🇸
1f1ea_1f1f9,🇪🇹
1f1ea_1f1fa,🇪🇺
1f1eb_1f1ee,🇫🇮
1f1eb_1f1ef,🇫🇯
1f1eb_1f1f0,🇫🇰
1f1eb_1f1f2,🇫🇲
1f1eb_1f1f4,🇫🇴
1f1eb_1f1f7,🇫🇷
1f1ec_1f1e6,🇬🇦
1f1ec_1f1e7,🇬🇧
1f1ec_1f1e9,🇬🇩
1f1ec_1f1ea,🇬🇪
1f1ec_1f1eb,🇬🇫
1f1ec_1f1ec,🇬🇬
1f1ec_1f1ed,🇬🇭
1f1ec_1f1ee,🇬🇮
1f1ec_1f1f1,🇬🇱
1f1ec_1f1f2,🇬🇲
1f1ec_1f1f3,🇬🇳
1f1ec_1f1f5,🇬🇵
1f1ec_1f1f6,🇬🇶
1f1ec_1f1f7,🇬🇷
1f1ec_1f1f8,🇬🇸
1f1ec_1f1f9,🇬🇹
1f1ec_1f1fa,🇬🇺
1f1ec_1f1fc,🇬🇼
1f1ec_1f1fe,🇬🇾
1f1ed_1f1f0,🇭🇰
1f1ed_1f1f2,🇭🇲
1f1ed_1f1f3,🇭🇳
1f1ed_1f1f7,🇭🇷
1f1ed_1f1f9,🇭🇹
1f1ed_1f1fa,🇭🇺
1f1ee_1f1e8,🇮🇨
1f1ee_1f1e9,🇮🇩
1f1ee_1f1ea,🇮🇪
1f1ee_1f1f1,🇮🇱
1f1ee_1f1f2,🇮🇲
1f1ee_1f1f3,🇮🇳
1f1ee_1f1f4,🇮🇴
1f1ee_1f1f6,🇮🇶
1f1ee_1f1f7,🇮🇷
1f1ee_1f1f8,🇮🇸
1f1ee_1f1f9,🇮🇹
1f1ef_1f1ea,🇯🇪
1f1ef_1f1f2,🇯🇲
1f1ef_1f1f4,🇯🇴
1f1ef_1f1f5,🇯🇵
1f1f0_1f1ea,🇰🇪
1f1f0_1f1ec,🇰🇬
1f1f0_1f1ed,🇰🇭
1f1f0_1f1ee,🇰🇮
1f1f0_1f1f2,🇰🇲
1f1f0_1f1f3,🇰🇳
1f1f0_1f1f5,🇰🇵
1f1f0_1f1f7,🇰🇷
1f1f0_1f1fc,🇰🇼
1f1f0_1f1fe,🇰🇾
1f1f0_1f1ff,🇰🇿
1f1f1_1f1e6,🇱🇦
1f1f1_1f1e7,🇱🇧
1f1f1_1f1e8,🇱🇨
1f1f1_1f1ee,🇱🇮
1f1f1_1f1f0,🇱🇰
1f1f1_1f1f7,🇱🇷
1f1f1_1f1f8,🇱🇸
1f1f1_1f1f9,🇱🇹
1f1f1_1f1fa,🇱🇺
1f1f1_1f1fb,🇱🇻
1f1f1_1f1fe,🇱🇾
1f1f2_1f1e6,🇲🇦
1f1f2_1f1e8,🇲🇨
1f1f2_1f1e9,🇲🇩
1f1f2_1f1ea,🇲🇪
1f1f2_1f1eb,🇲🇫
1f1f2_1f1ec,🇲🇬
1f1f2_1f1ed,🇲🇭
1f1f2_1f1f0,🇲🇰
1f1f2_1f1f1,🇲🇱
1f1f2_1f1f2,🇲🇲
1f1f2_1f1f3,🇲🇳
1f1f2_1f1f4,🇲🇴
1f1f2_1f1f5,🇲🇵
1f1f2_1f1f6,🇲🇶
1f1f2_1f1f7,🇲🇷
1f1f2_1f1f8,🇲🇸
1f1f2_1f1f9,🇲🇹
1f1f2_1f1fa,🇲🇺
1f1f2_1f1fb,🇲🇻
1f1f2_1f1fc,🇲🇼
1f1f2_1f1fd,🇲🇽
1f1f2_1f1fe,🇲🇾
1f1f2_1f1ff,🇲🇿
1f1f3_1f1e6,🇳🇦
1f1f3_1f1e8,🇳🇨
1f1f3_1f1ea,🇳🇪
1f1f3_1f1eb,🇳🇫
1f1f3_1f1ec,🇳🇬
1f1f3_1f1ee,🇳🇮
1f1f3_1f1f1,🇳🇱
1f1f3_1f1f4,🇳🇴
1f1f3_1f1f5,🇳🇵
1f1f3_1f1f7,🇳🇷
1f1f3_1f1fa,🇳🇺
1f1f3_1f1ff,🇳🇿
1f1f4_1f1f2,🇴🇲
1f1f5_1f1e6,🇵🇦
1f1f5_1f1ea,🇵🇪
1f1f5_1f1eb,🇵🇫
1f1f5_1f1ec,🇵🇬
1f1f5_1f1ed,🇵🇭
1f1f5_1f1f0,🇵🇰
1f1f5_1f1f1,🇵🇱
1f1f5_1f1f2,🇵🇲
1f1f5_1f1f3,🇵🇳
1f1f5_1f1f7,🇵🇷
1f1f5_1f1f8,🇵🇸
1f1f5_1f1f9,🇵🇹
1f1f5_1f1fc,🇵🇼
1f1f5_1f1fe,🇵🇾
1f1f6_1f1e6,🇶🇦
1f1f7_1f1ea,🇷🇪
1f1f7_1f1f4,🇷🇴
1f1f7_1f1f8,🇷🇸
1f1f7_1f1fa,🇷🇺
1f1f7_1f1fc,🇷🇼
1f1f8_1f1e6,🇸🇦
1f1f8_1f1e7,🇸🇧
1f1f8_1f1e8,🇸🇨
1f1f8_1f1e9,🇸🇩
1f1f8_1f1ea,🇸🇪
1f1f8_1f1ec,🇸🇬
1f1f8_1f1ed,🇸🇭
1f1f8_1f1ee,🇸🇮
1f1f8_1f1ef,🇸🇯
1f1f8_1f1f0,🇸🇰
1f1f8_1f1f1,🇸🇱
1f1f8_1f1f2,🇸🇲
1f1f8_1f1f3,🇸🇳
1f1f8_1f1f4,🇸🇴
1f1f8_1f1f7,🇸🇷
1f1f8_1f1f8,🇸🇸
1f1f8_1f1f9,🇸🇹
1f1f8_1f1fb,🇸🇻
1f1f8_1f1fd,🇸🇽
1f1f8_1f1fe,🇸🇾
1f1f8_1f1ff,🇸🇿
1f1f9_1f1e6,🇹🇦
1f1f9_1f1e8,🇹🇨
1f1f9_1f1e9,🇹🇩
1f1f9_1f1eb,🇹🇫
1f1f9_1f1ec,🇹🇬
1f1f9_1f1ed,🇹🇭
1f1f9_1f1ef,🇹🇯
1f1f9_1f1f0,🇹🇰
1f1f9_1f1f1,🇹🇱
1f1f9_1f1f2,🇹🇲
1f1f9_1f1f3,🇹🇳
1f1f9_1f1f4,🇹🇴
1f1f9_1f1f7,🇹🇷
1f1f9_1f1f9,🇹🇹
1f1f9_1f1fb,🇹🇻
1f1f9_1f1fc,🇹🇼
1f1f9_1f1ff,🇹🇿
1f1fa_1f1e6,🇺🇦
1f1fa_1f1ec,🇺🇬
1f1fa_1f1f2,🇺🇲
1f1fa_1f1f3,🇺🇳
1f1fa_1f1f8,🇺🇸
1f1fa_1f1fe,🇺🇾
1f1fa_1f1ff,🇺🇿
1f1fb_1f1e6,🇻🇦
1f1fb_1f1e8,🇻🇨
1f1fb_1f1ea,🇻🇪
1f1fb_1f1ec,🇻🇬
1f1fb_1f1ee,🇻🇮
1f1fb_1f1f3,🇻🇳
1f1fb_1f1fa,🇻🇺
1f1fc_1f1eb,🇼🇫
1f1fc_1f1f8,🇼🇸
1f1fd_1f1f0,🇽🇰
1f1fe_1f1ea,🇾🇪
1f1fe_1f1f9,🇾🇹
1f1ff_1f1e6,🇿🇦
1f1ff_1f1f2,🇿🇲
1f1ff_1f1fc,🇿🇼
1f3f4_e0067_e0062_e0065_e006e_e0067_e007f,🏴󠁧󠁢󠁥󠁮󠁧󠁿
1f3f4_e0067_e0062_e0073_e0063_e0074_e007f,🏴󠁧󠁢󠁳󠁣󠁴󠁿
1f3f4_e0067_e0062_e0077_e006c_e0073_e007f,🏴󠁧󠁢󠁷󠁬󠁳󠁿
